Grant Years,State Programs,Batch Year,County Number,County Name,Total Students Awarded,Total Dollars Awarded,State Name,GNIS Number,GEO Coordinates,Grant Year End Date
2019-20,GEAR UP Iowa Scholarship,20,56,Lee,0,0,Iowa,465244,POINT (-91.479264 40.6419764),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,13,Calhoun,0,0,Iowa,465202,POINT (-94.6404136 42.385184800000005),2020
2019-20,National Guard Educational Assistance,20,87,Taylor,1,1770,Iowa,465275,POINT (-94.6964148 40.73743240000001),2020
2019-20,Educational Training Voucher,20,72,Osceola,0,0,Iowa,465260,POINT (-95.6236852 43.3785704),2020
2019-20,Iowa Tuition Grant,20,29,Des Moines,86,450003,Iowa,465217,POINT (-91.1814707 40.9231829),2020
2019-20,Kibbie Grant,20,70,Muscatine,87,79591,Iowa,465258,POINT (-91.1127562 41.4839221),2020
2019-20,Vocational Technical Tuition Grant,20,16,Cedar,26,17604,Iowa,465205,POINT (-91.1324125 41.7723207),2020
2019-20,Educational Training Voucher,20,17,Cerro Gordo,3,15000,Iowa,465206,POINT (-93.2608184 43.081557700000005),2020
2019-20,Iowa Tuition Grant For-Profit,20,90,Wapello,0,0,Iowa,465278,POINT (-92.4094499 41.03058450000001),2020
2019-20,Kibbie Grant,20,38,Grundy,13,13401,Iowa,465226,POINT (-92.7914177 42.4018651),2020
2019-20,Futue Ready Grant,20,20,Clarke,0,0,Iowa,465209,POINT (-93.78515790000002 41.0290323),2020
2019-20,Futue Ready Grant,20,79,Poweshiek,0,0,Iowa,465267,POINT (-92.53146840000001 41.6864422),2020
2019-20,Vocational Technical Tuition Grant,20,79,Poweshiek,18,13914,Iowa,465267,POINT (-92.53146840000001 41.6864422),2020
2019-20,Vocational Technical Tuition Grant,20,5,Audubon,9,7013,Iowa,465194,POINT (-94.9058222 41.6845893),2020
2019-20,GEAR UP Iowa Scholarship,20,12,Butler,0,0,Iowa,465201,POINT (-92.7901934 42.7315661),2020
2019-20,Kibbie Grant,20,49,Jackson,43,42826,Iowa,465237,POINT (-90.5742294 42.1717426),2020
2019-20,All Iowa Opportunity Scholarship,20,6,Benton,1,4644,Iowa,465195,POINT (-92.0656912 42.0801864),2020
2019-20,Last Dollar Scholarship,20,82,Scott,282,423985,Iowa,465270,POINT (-90.6232428 41.6370978),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,54,Keokuk,0,0,Iowa,465242,POINT (-92.1786426 41.336465),2020
2019-20,Educational Training Voucher,20,22,Clayton,1,5000,Iowa,465210,POINT (-91.34143280000002 42.8447493),2020
2019-20,Futue Ready Grant,20,50,Jasper,0,0,Iowa,465238,POINT (-93.053765 41.6860394),2020
2019-20,GEAR UP Iowa Scholarship,20,83,Shelby,0,0,Iowa,465271,POINT (-95.31021130000002 41.6850926),2020
2019-20,Last Dollar Scholarship,20,87,Taylor,14,43962,Iowa,465275,POINT (-94.6964148 40.73743240000001),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,45,Howard,0,0,Iowa,465233,POINT (-92.3171989 43.3567673),2020
2019-20,Iowa Tuition Grant For-Profit,20,62,Mahaska,1,600,Iowa,465250,POINT (-92.6409094 41.3352035),2020
2019-20,Iowa Tuition Grant,20,17,Cerro Gordo,81,381100,Iowa,465206,POINT (-93.2608184 43.081557700000005),2020
